,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,positioning,vision,penalties,aggression,interceptions,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,preferred_foot_encoded,attacking_work_rate_encoded,defensive_work_rate_encoded,player_role
152778,33,70,56,63,60.0,63,55.0,27,56,66,90,84,73.0,60,64.0,75,67.0,63,59,69,75,45.0,66,83,37,23,17,23.0,13,11,6,9,14,1,1.0,0.0,4
19589,67,67,57,66,69.0,80,67.0,73,58,77,78,90,68.0,73,55.0,85,65.0,78,83,70,67,61.0,66,56,24,19,24,21.0,15,7,8,7,11,1,1.0,0.0,6
1327,49,78,71,63,56.0,74,45.0,43,49,73,82,81,60.0,71,60.0,73,61.0,64,63,70,69,59.0,77,35,20,20,20,21.0,6,14,13,8,6,1,1.0,1.0,4
56972,51,42,75,68,42.0,47,47.0,41,67,62,49,55,52.0,67,47.0,77,55.0,74,92,66,46,32.0,43,77,72,74,75,69.0,11,15,15,12,7,1,1.0,2.0,1
180207,51,66,55,57,60.0,64,50.0,39,48,63,80,80,72.0,60,70.0,64,74.0,67,61,61,56,48.0,59,33,22,15,16,12.0,11,12,12,12,7,1,1.0,1.0,4
95163,44,63,73,49,52.0,52,42.0,31,45,63,71,70,59.0,57,48.0,69,48.0,73,86,53,66,55.0,65,55,22,22,22,25.0,12,12,7,11,12,1,1.0,0.0,4
18765,37,27,60,47,32.0,32,31.0,37,45,61,65,64,54.0,58,62.0,42,80.0,63,66,29,33,27.0,50,65,64,72,73,70.0,12,11,12,15,7,1,1.0,1.0,4
81459,48,64,58,47,52.0,75,69.0,38,36,69,91,93,92.0,68,91.0,70,69.0,68,33,70,61,52.0,66,45,17,15,18,20.0,7,7,13,9,12,1,1.0,1.0,4
177782,34,21,73,57,36.0,45,33.0,29,50,52,56,61,50.0,70,48.0,40,72.0,62,84,26,25,31.0,45,79,71,76,78,74.0,15,11,11,10,11,1,1.0,1.0,1
109505,62,48,48,77,58.0,73,64.0,58,73,77,77,69,77.0,68,81.0,65,69.0,78,67,58,60,72.0,56,63,64,50,56,56.0,8,4,3,7,7,0,1.0,1.0,4
155982,68,69,59,63,68.0,75,66.0,55,50,74,90,91,78.0,75,62.0,79,75.0,83,75,69,75,58.0,53,66,33,15,16,22.0,16,15,11,10,9,1,2.0,1.0,6
81959,54,73,64,64,67.0,61,56.0,67,56,62,68,65,58.0,56,54.0,63,76.0,76,86,54,72,51.0,70,38,23,15,20,25.0,14,15,12,9,7,1,2.0,0.0,7
94181,68,56,72,73,53.0,65,61.0,54,65,72,74,75,73.0,73,74.0,60,86.0,86,66,57,72,66.0,47,68,55,65,68,71.0,13,9,7,8,12,1,1.0,1.0,2
62859,43,51,80,60,32.0,47,46.0,25,54,58,55,55,35.0,75,50.0,54,82.0,65,78,51,48,22.0,35,68,76,70,75,75.0,7,9,13,10,15,1,1.0,1.0,1
160009,34,35,73,77,37.0,51,49.0,46,75,73,53,53,63.0,74,55.0,45,66.0,61,74,47,52,56.0,41,69,76,72,74,70.0,15,16,11,11,7,1,,,1
151428,55,70,65,62,72.0,67,42.0,47,45,72,78,78,77.0,69,69.0,81,70.0,68,69,63,76,57.0,72,54,24,17,25,21.0,15,13,15,14,8,1,2.0,1.0,4
113998,61,62,52,69,55.0,67,56.0,49,78,71,65,60,62.0,58,75.0,72,59.0,63,52,73,58,66.0,59,65,73,59,53,56.0,10,12,13,11,10,1,1.0,1.0,3
129963,40,39,53,64,34.0,47,22.0,22,61,54,64,66,60.0,45,62.0,69,48.0,76,86,57,34,49.0,44,57,43,52,59,57.0,8,8,8,13,14,0,1.0,1.0,4
70943,40,70,68,66,60.0,65,54.0,53,50,66,59,59,71.0,73,68.0,64,64.0,51,64,63,73,66.0,68,31,37,21,32,29.0,15,14,13,6,12,1,1.0,1.0,4
45553,54,69,62,71,67.0,73,54.0,42,58,76,78,75,73.0,54,70.0,68,69.0,65,64,59,64,63.0,71,31,22,24,15,22.0,9,15,14,9,10,1,1.0,1.0,4
132884,66,54,49,67,49.0,73,68.0,61,58,71,78,85,83.0,70,77.0,71,64.0,75,57,62,67,63.0,67,63,66,63,66,59.0,9,8,9,10,11,1,2.0,1.0,2
44294,78,67,65,79,66.0,76,80.0,78,76,78,69,68,73.0,80,73.0,80,68.0,69,64,84,79,82.0,71,53,36,33,32,24.0,15,15,8,10,12,1,2.0,1.0,5
127787,60,62,51,64,61.0,66,74.0,71,59,74,64,62,80.0,70,64.0,75,58.0,74,58,76,81,75.0,71,57,63,38,65,44.0,10,15,8,13,13,1,1.0,1.0,4
170713,55,53,44,58,46.0,64,43.0,38,49,65,69,73,63.0,47,57.0,66,47.0,54,72,47,53,48.0,49,33,22,16,30,26.0,9,7,16,12,12,0,1.0,1.0,4
101188,73,68,55,78,64.0,69,76.0,76,76,76,67,73,69.0,69,72.0,72,52.0,78,72,77,59,74.0,77,58,59,42,56,52.0,8,15,12,8,6,1,1.0,1.0,4
45261,71,62,53,81,61.0,65,72.0,68,76,70,53,55,92.0,63,74.0,81,67.0,66,57,85,68,78.0,73,60,64,65,68,58.0,8,13,13,14,15,1,2.0,0.0,3
167240,25,25,55,31,32.0,27,25.0,29,25,33,60,60,37.0,48,50.0,37,74.0,60,59,25,22,32.0,35,54,55,54,63,58.0,14,8,7,11,9,0,1.0,1.0,4
112452,60,62,56,56,57.0,72,41.0,36,45,69,86,87,82.0,56,75.0,65,60.0,60,65,56,58,53.0,59,49,44,23,39,26.0,12,6,15,7,7,1,1.0,1.0,4
141124,79,68,56,76,72.0,75,82.0,80,78,79,69,69,79.0,75,68.0,82,55.0,72,56,78,75,77.0,80,68,50,60,60,48.0,7,11,15,7,7,1,1.0,1.0,4
110222,68,76,74,76,70.0,67,73.0,71,73,69,77,75,72.0,71,62.0,75,73.0,71,74,72,69,73.0,76,78,54,63,46,49.0,16,10,15,14,12,0,2.0,0.0,2
101936,46,43,34,71,41.0,59,42.0,52,68,66,65,66,61.0,60,61.0,64,51.0,70,70,46,49,65.0,42,72,62,63,62,62.0,9,9,8,9,10,1,1.0,1.0,3
51951,79,67,45,87,65.0,81,82.0,78,83,84,67,63,84.0,80,86.0,72,59.0,69,67,76,77,86.0,67,77,70,57,75,61.0,13,8,7,7,10,1,1.0,1.0,3
167218,62,50,54,68,38.0,68,62.0,42,64,68,72,74,72.0,57,75.0,63,59.0,85,71,54,54,63.0,52,71,58,55,63,55.0,10,15,10,13,13,0,1.0,1.0,4
60690,69,36,55,65,28.0,65,58.0,37,65,65,89,85,81.0,69,87.0,49,75.0,81,69,45,55,49.0,45,64,69,68,71,72.0,15,8,9,15,9,1,2.0,2.0,2
144568,46,35,65,67,34.0,56,47.0,44,69,63,60,54,51.0,62,50.0,61,65.0,75,73,48,51,56.0,50,70,67,65,67,60.0,10,9,7,12,9,0,1.0,1.0,3
59787,70,52,72,66,36.0,73,45.0,66,67,75,91,91,91.0,71,82.0,81,89.0,70,60,69,75,64.0,47,58,56,30,29,53.0,6,10,9,16,9,0,2.0,0.0,6
83827,77,54,55,73,43.0,70,72.0,68,65,73,92,91,87.0,77,62.0,81,80.0,87,75,59,72,65.0,67,74,69,66,70,64.0,13,8,14,9,15,0,2.0,1.0,2
170130,46,15,74,60,30.0,44,37.0,25,64,60,45,54,49.0,74,41.0,47,62.0,63,80,33,36,48.0,44,67,78,78,78,67.0,9,6,14,16,8,1,1.0,1.0,1
13779,50,54,57,74,67.0,64,50.0,55,77,75,58,55,63.0,55,60.0,72,62.0,73,75,74,61,74.0,62,64,66,53,66,50.0,12,8,12,16,16,1,1.0,1.0,4
72900,46,69,71,74,68.0,64,48.0,35,59,63,58,65,65.0,68,45.0,64,88.0,68,85,58,67,71.0,58,69,20,28,25,20.0,11,16,11,12,8,1,,,4
84812,46,38,56,65,23.0,42,44.0,34,61,62,50,53,58.0,74,55.0,42,73.0,68,68,31,43,63.0,36,59,70,61,74,68.0,13,7,12,11,13,0,1.0,1.0,4
50534,56,69,60,60,64.0,67,60.0,57,47,63,75,72,75.0,60,71.0,63,71.0,91,57,64,67,64.0,72,49,23,19,12,15.0,14,12,16,15,14,1,2.0,1.0,4
175480,28,16,61,55,24.0,27,36.0,30,40,50,56,55,52.0,63,50.0,53,66.0,56,75,26,24,26.0,35,68,65,71,65,66.0,5,11,11,8,5,1,0.0,1.0,4
179615,52,58,63,67,59.0,67,68.0,48,41,67,75,72,32.0,70,65.0,65,69.0,81,73,53,59,72.0,45,64,68,60,62,61.0,10,9,9,6,16,1,1.0,2.0,3
84694,69,47,75,68,38.0,61,76.0,62,55,68,76,77,69.0,59,64.0,60,77.0,81,75,48,61,59.0,45,71,72,69,70,72.0,8,9,15,12,16,0,2.0,1.0,1
152418,35,32,65,62,38.0,51,35.0,42,58,53,68,67,59.0,47,61.0,69,70.0,62,74,54,22,42.0,43,69,64,63,69,65.0,15,11,7,15,11,0,1.0,1.0,4
10424,34,28,78,49,29.0,34,32.0,28,56,53,49,58,47.0,53,41.0,63,69.0,59,79,22,41,46.0,45,67,70,72,68,66.0,12,10,8,15,13,0,1.0,1.0,1
172890,66,64,50,63,64.0,71,59.0,63,64,60,69,72,64.0,60,66.0,68,64.0,70,57,67,64,56.0,59,53,43,35,46,36.0,13,11,13,13,7,1,1.0,1.0,4
